age,salary,experience_years,working_hours_per_week,performance_score,projects_completed,overtime_hours,distance_from_home_km,training_hours,absent_days,gender,education_level,job_role,department,city,company_type,work_mode,marital_status,has_certifications,promotion,job_satisfaction
55.0,39059.0,23.0,55.0,1.32,9.0,10.0,48.1,97.0,29.0,Male,High School,Designer,AI,Cairo,Startup,Remote,Married,0.0,0,High
19.0,21394.0,13.0,43.0,4.83,28.0,5.0,30.0,33.0,24.0,Female,Master,Manager,IT,Alexandria,SME,Remote,Single,0.0,0,Medium
38.0,31457.0,12.0,30.0,2.57,29.0,27.0,,177.0,10.0,Female,Bachelor,HR,Finance,,Enterprise,Onsite,Single,0.0,0,Low
50.0,24352.0,28.0,24.0,3.49,19.0,16.0,6.2,46.0,1.0,Male,PhD,Manager,IT,Aswan,Enterprise,Remote,Married,1.0,0,Medium
29.0,24146.0,0.0,49.0,3.21,41.0,17.0,49.7,176.0,8.0,Male,,Engineer,HR,Giza,Startup,Remote,Married,0.0,0,Low
39.0,,33.0,29.0,1.85,,10.0,16.1,,12.0,Male,High School,Data Scientist,Marketing,Tanta,Enterprise,Remote,Single,1.0,0,Medium
61.0,,,56.0,3.68,7.0,,2.7,157.0,23.0,Female,Master,Engineer,Operations,Mansoura,Enterprise,Hybrid,Single,1.0,0,Medium
42.0,,27.0,46.0,1.18,33.0,26.0,20.2,22.0,,Male,Master,Data Scientist,HR,Aswan,,Remote,Married,0.0,0,Medium
44.0,4263.0,18.0,,1.81,33.0,28.0,37.7,64.0,9.0,Male,Bachelor,,Marketing,Giza,Enterprise,Onsite,Married,1.0,0,High
59.0,16305.0,,43.0,4.78,44.0,,44.6,17.0,,Male,PhD,Engineer,HR,Cairo,Enterprise,Remote,Single,,0,Medium
45.0,,,22.0,4.81,35.0,12.0,24.4,179.0,15.0,Female,Bachelor,Data Scientist,Operations,Tanta,Enterprise,Remote,,1.0,1,Low
33.0,35080.0,12.0,57.0,2.93,6.0,2.0,15.4,194.0,17.0,Female,Master,Data Scientist,IT,,,Onsite,Married,0.0,0,High
32.0,13265.0,4.0,45.0,1.68,13.0,24.0,39.1,24.0,4.0,Male,High School,Sales,AI,Alexandria,SME,,Married,1.0,0,Medium
64.0,35152.0,32.0,58.0,2.69,19.0,29.0,25.7,,28.0,Male,Bachelor,Engineer,Marketing,Alexandria,SME,Remote,Single,1.0,0,High
61.0,30724.0,13.0,37.0,,,3.0,5.2,185.0,,Female,High School,Data Scientist,HR,Giza,Enterprise,Hybrid,Single,,0,Medium
20.0,,15.0,22.0,1.28,32.0,20.0,44.5,72.0,17.0,Male,Master,Sales,AI,Alexandria,,Remote,Married,0.0,0,Medium
54.0,37119.0,31.0,57.0,1.51,30.0,15.0,33.1,118.0,26.0,Female,PhD,,IT,Tanta,Startup,Remote,Single,1.0,0,Medium
24.0,32389.0,,,4.58,32.0,22.0,2.8,53.0,13.0,Female,Master,Sales,AI,Giza,SME,Hybrid,Single,0.0,0,
38.0,19650.0,34.0,,2.66,25.0,3.0,1.4,143.0,8.0,Male,Master,Engineer,IT,Cairo,SME,Remote,,0.0,0,High
26.0,29014.0,,44.0,1.33,25.0,27.0,5.3,190.0,1.0,Female,High School,HR,Marketing,,SME,Onsite,Single,0.0,0,
56.0,13885.0,3.0,43.0,1.56,,26.0,,42.0,10.0,Female,High School,HR,AI,Tanta,SME,Remote,Single,1.0,0,Medium
35.0,10434.0,6.0,35.0,4.53,15.0,11.0,24.6,,22.0,Female,PhD,Designer,HR,Alexandria,Enterprise,,Married,1.0,1,Medium
21.0,,12.0,30.0,2.96,11.0,9.0,17.4,171.0,24.0,Female,High School,Manager,Operations,Mansoura,Startup,Hybrid,Single,0.0,0,
42.0,4022.0,2.0,40.0,1.65,0.0,25.0,13.2,15.0,17.0,Female,PhD,Sales,Finance,Mansoura,Startup,Onsite,Married,0.0,0,Medium
,27331.0,16.0,50.0,4.58,43.0,28.0,25.8,6.0,7.0,Female,High School,Engineer,Marketing,Tanta,,Hybrid,Single,1.0,1,High
26.0,,9.0,34.0,4.38,19.0,12.0,5.1,154.0,6.0,Female,PhD,Data Scientist,Operations,Aswan,SME,Hybrid,Married,1.0,1,
43.0,11756.0,0.0,55.0,1.09,49.0,5.0,31.2,17.0,0.0,,PhD,Data Scientist,Operations,Giza,SME,Remote,Single,1.0,0,Medium
19.0,,27.0,20.0,3.32,1.0,24.0,19.6,,26.0,Male,Bachelor,Manager,Finance,Tanta,Enterprise,Remote,Single,0.0,0,Low
37.0,,9.0,47.0,1.98,30.0,7.0,43.1,85.0,22.0,Female,High School,Engineer,HR,Giza,Startup,Hybrid,Single,0.0,0,
45.0,,6.0,52.0,3.13,,,38.0,61.0,28.0,Male,High School,Data Scientist,IT,Mansoura,Startup,Remote,Single,1.0,0,Medium
64.0,19603.0,38.0,22.0,2.12,41.0,28.0,1.9,60.0,5.0,Male,Master,Manager,IT,Cairo,Enterprise,Hybrid,Single,0.0,0,Low
24.0,3405.0,,,2.26,9.0,16.0,9.2,,3.0,Male,Master,HR,Marketing,Giza,SME,Hybrid,Single,,0,Medium
61.0,21702.0,6.0,52.0,3.41,5.0,5.0,24.2,61.0,16.0,Female,Bachelor,Sales,Operations,Tanta,SME,Remote,Single,0.0,0,Low
25.0,29250.0,8.0,51.0,3.16,1.0,14.0,33.3,12.0,25.0,Male,Bachelor,HR,HR,Giza,SME,Onsite,Married,1.0,0,Low
64.0,24442.0,39.0,42.0,2.58,15.0,12.0,36.0,58.0,11.0,Male,Bachelor,Manager,,Tanta,Startup,Onsite,Single,1.0,0,Medium
52.0,20693.0,34.0,,1.43,4.0,8.0,,153.0,16.0,Male,PhD,Designer,Operations,Alexandria,Enterprise,Hybrid,Married,0.0,0,Medium
31.0,27005.0,25.0,36.0,4.88,37.0,14.0,3.4,16.0,,Female,Master,Sales,IT,Tanta,SME,Onsite,Married,1.0,1,Low
34.0,31988.0,4.0,28.0,1.7,21.0,18.0,1.9,144.0,27.0,Female,Master,Data Scientist,Operations,,Enterprise,Hybrid,Single,1.0,0,Medium
53.0,35333.0,12.0,24.0,3.53,21.0,18.0,30.4,15.0,,,High School,HR,Operations,Alexandria,,Remote,Married,0.0,0,Medium
57.0,,29.0,,1.33,21.0,28.0,36.5,184.0,1.0,Male,Master,Manager,HR,,Startup,Onsite,Married,1.0,0,Low
21.0,12522.0,39.0,25.0,,0.0,9.0,39.5,12.0,9.0,Male,,Engineer,AI,Mansoura,Startup,Hybrid,Married,0.0,0,High
19.0,15121.0,38.0,54.0,1.38,35.0,27.0,,196.0,4.0,Male,PhD,Engineer,Finance,,Startup,Hybrid,Single,1.0,0,Low
23.0,17219.0,9.0,40.0,1.92,48.0,4.0,48.5,,18.0,Male,Master,Data Scientist,Marketing,Mansoura,Enterprise,Hybrid,Married,0.0,0,Medium
59.0,4617.0,22.0,42.0,3.59,12.0,24.0,12.2,92.0,8.0,,,Sales,Finance,Tanta,Startup,Hybrid,Single,0.0,1,Low
,27276.0,10.0,54.0,2.13,11.0,14.0,13.3,75.0,10.0,Female,Bachelor,HR,AI,Aswan,,Hybrid,Single,0.0,0,Medium
46.0,37351.0,11.0,21.0,3.13,12.0,2.0,8.6,119.0,21.0,Male,Master,Manager,,Mansoura,Startup,Hybrid,Single,1.0,0,High
35.0,9704.0,12.0,28.0,1.5,47.0,15.0,,53.0,19.0,Male,Bachelor,Designer,HR,Mansoura,SME,Remote,Single,1.0,0,High
43.0,20959.0,39.0,32.0,1.81,10.0,4.0,40.7,196.0,25.0,Male,Bachelor,HR,AI,,,Hybrid,Single,1.0,0,Medium
61.0,31522.0,15.0,53.0,3.94,49.0,26.0,1.3,188.0,19.0,Female,PhD,Sales,Finance,Aswan,SME,Remote,Single,0.0,0,Low
51.0,12953.0,8.0,35.0,1.14,17.0,,23.7,176.0,16.0,,Master,Designer,Operations,Giza,SME,Remote,Single,1.0,0,Low
27.0,29567.0,9.0,24.0,1.45,21.0,26.0,5.5,156.0,25.0,,High School,,AI,,Enterprise,Onsite,Married,1.0,0,Low
53.0,25560.0,28.0,,1.86,,23.0,,186.0,14.0,Male,Bachelor,,IT,Cairo,Startup,Remote,Married,1.0,0,Low
31.0,5613.0,8.0,59.0,1.08,3.0,1.0,46.8,22.0,3.0,Male,Bachelor,Engineer,AI,Alexandria,Enterprise,Remote,Single,0.0,0,Medium
48.0,39660.0,32.0,,1.38,8.0,7.0,41.4,,1.0,Female,PhD,Engineer,AI,Tanta,SME,Hybrid,Single,0.0,0,High
32.0,27496.0,23.0,45.0,2.13,2.0,16.0,20.3,121.0,17.0,Male,High School,Engineer,Marketing,Cairo,Startup,Hybrid,,1.0,0,Low
25.0,20765.0,34.0,53.0,1.37,7.0,,23.5,128.0,17.0,,,Data Scientist,,Cairo,,,Married,,0,Medium
31.0,28721.0,10.0,40.0,4.46,,2.0,43.5,106.0,10.0,Female,High School,Sales,HR,Cairo,Startup,Remote,Married,1.0,1,High
,6515.0,38.0,26.0,1.26,17.0,20.0,40.0,68.0,13.0,Female,Master,Manager,Marketing,Giza,Enterprise,Hybrid,Married,1.0,0,High
57.0,7454.0,12.0,44.0,4.44,4.0,24.0,34.9,47.0,27.0,Female,Master,Sales,HR,Cairo,Startup,,Single,0.0,0,
,25873.0,22.0,31.0,4.29,21.0,28.0,27.3,3.0,12.0,Female,Bachelor,Data Scientist,IT,Cairo,Startup,Onsite,Married,0.0,0,Low
33.0,11384.0,24.0,50.0,1.4,36.0,27.0,30.8,10.0,1.0,Female,High School,,Finance,Tanta,Enterprise,Hybrid,,1.0,0,Low
62.0,16727.0,15.0,,1.1,4.0,,20.3,170.0,16.0,Female,Master,Sales,Finance,Cairo,SME,Remote,Married,1.0,0,
35.0,6534.0,20.0,41.0,1.2,22.0,0.0,26.9,13.0,29.0,Female,PhD,HR,AI,Aswan,SME,,Single,1.0,0,Low
64.0,36523.0,9.0,53.0,3.36,15.0,21.0,27.4,31.0,18.0,Male,,Data Scientist,Operations,,SME,Hybrid,Single,0.0,0,High
,34889.0,39.0,36.0,3.68,4.0,9.0,43.4,111.0,26.0,Male,Bachelor,Manager,HR,Tanta,Startup,Hybrid,Married,0.0,0,
43.0,28465.0,18.0,30.0,3.48,36.0,27.0,11.7,99.0,15.0,Male,Master,Sales,Marketing,Mansoura,Startup,Onsite,Single,0.0,0,High
42.0,,34.0,48.0,3.17,43.0,15.0,13.1,183.0,29.0,Male,Master,HR,Finance,Alexandria,SME,Hybrid,Married,1.0,0,High
62.0,24330.0,27.0,53.0,1.7,38.0,12.0,11.3,76.0,28.0,Male,,Designer,Finance,,Enterprise,Remote,,1.0,0,Low
58.0,11302.0,1.0,56.0,4.36,2.0,5.0,29.4,177.0,14.0,Female,Master,Sales,HR,,SME,Remote,Married,1.0,1,Low
46.0,15907.0,29.0,45.0,2.31,25.0,12.0,35.1,189.0,28.0,Female,High School,Data Scientist,AI,,SME,Remote,Married,,0,High
32.0,27430.0,39.0,51.0,4.94,7.0,11.0,12.7,8.0,18.0,Female,Master,Designer,IT,Mansoura,SME,Remote,Single,,0,
62.0,10181.0,39.0,56.0,2.54,20.0,22.0,34.2,158.0,26.0,Male,Bachelor,Engineer,Marketing,Cairo,SME,Remote,Married,1.0,0,Medium
18.0,15875.0,4.0,24.0,,17.0,,31.8,178.0,27.0,Female,PhD,Designer,IT,Mansoura,Enterprise,Remote,Single,0.0,0,
42.0,30219.0,37.0,39.0,4.58,,25.0,16.7,117.0,26.0,Male,PhD,Engineer,IT,Giza,,Onsite,Married,0.0,1,High
24.0,39182.0,14.0,26.0,3.27,5.0,4.0,12.3,177.0,,Female,High School,Engineer,Finance,Alexandria,SME,Hybrid,Married,1.0,0,Low
26.0,18005.0,35.0,42.0,,26.0,,44.2,104.0,1.0,Male,Master,Engineer,IT,Aswan,SME,Hybrid,Married,0.0,0,Medium
41.0,17245.0,2.0,20.0,2.63,21.0,6.0,28.9,119.0,4.0,,Bachelor,,,Alexandria,Enterprise,Remote,Married,0.0,0,Medium
18.0,9457.0,23.0,58.0,4.55,21.0,1.0,35.5,157.0,15.0,Female,Bachelor,Data Scientist,Operations,Alexandria,Enterprise,Onsite,Single,0.0,0,Medium
61.0,,11.0,,4.67,,17.0,46.3,25.0,3.0,,High School,Sales,Operations,Tanta,Enterprise,Onsite,Married,,1,Medium
25.0,36064.0,7.0,22.0,2.75,37.0,9.0,,109.0,,,High School,Engineer,Marketing,,Enterprise,Hybrid,Single,0.0,0,Medium
41.0,12821.0,13.0,25.0,1.96,42.0,23.0,18.2,138.0,27.0,Female,Master,Data Scientist,Finance,Aswan,SME,,Single,0.0,0,Low
28.0,35761.0,17.0,,3.59,26.0,21.0,22.3,130.0,20.0,Female,Master,Sales,Marketing,Cairo,,,Single,0.0,0,Medium
34.0,16119.0,19.0,46.0,4.82,44.0,20.0,12.4,181.0,2.0,Female,High School,Engineer,AI,Mansoura,Startup,Hybrid,Single,1.0,1,High
25.0,10664.0,22.0,48.0,3.49,45.0,18.0,42.2,149.0,7.0,Male,High School,Engineer,IT,Giza,Startup,Onsite,Married,1.0,0,Low
,32281.0,4.0,34.0,4.82,48.0,19.0,5.1,176.0,1.0,Male,High School,Engineer,Finance,Aswan,Enterprise,Remote,Single,0.0,1,Low
52.0,34821.0,0.0,55.0,2.38,,23.0,12.7,54.0,13.0,Male,,HR,Operations,Cairo,Startup,Onsite,Married,0.0,0,Medium
50.0,27647.0,1.0,24.0,4.66,41.0,9.0,10.4,85.0,10.0,Male,PhD,HR,Finance,Giza,Enterprise,Remote,,1.0,1,Medium
22.0,7382.0,15.0,22.0,1.45,30.0,6.0,47.7,62.0,4.0,Female,Bachelor,HR,Operations,Aswan,Enterprise,Remote,Single,1.0,0,Low
59.0,19449.0,4.0,44.0,2.44,27.0,12.0,31.7,95.0,11.0,Male,High School,Designer,Marketing,Cairo,SME,Onsite,Married,0.0,0,Medium
56.0,20263.0,21.0,51.0,2.98,29.0,24.0,36.1,198.0,17.0,Female,High School,Data Scientist,Finance,Tanta,Startup,Hybrid,Single,0.0,0,High
58.0,27643.0,0.0,40.0,3.61,33.0,12.0,6.3,,8.0,,PhD,HR,HR,Giza,Enterprise,,,0.0,0,Low
45.0,12408.0,11.0,36.0,2.18,44.0,10.0,10.5,116.0,16.0,Female,Master,Engineer,Marketing,Aswan,SME,Hybrid,Single,0.0,0,High
24.0,26606.0,18.0,28.0,4.7,16.0,18.0,,87.0,20.0,Male,PhD,Manager,Marketing,Mansoura,SME,Hybrid,Married,0.0,1,High
26.0,30603.0,21.0,45.0,4.61,34.0,21.0,28.8,72.0,15.0,,High School,Sales,AI,Tanta,SME,,,0.0,0,Medium
25.0,8069.0,16.0,41.0,4.2,35.0,6.0,3.2,46.0,28.0,Female,PhD,Engineer,HR,Alexandria,Startup,Hybrid,Single,,1,High
29.0,22623.0,12.0,42.0,1.46,5.0,1.0,28.7,88.0,25.0,Female,Master,Manager,IT,Tanta,SME,Remote,Married,1.0,0,Low
51.0,19891.0,38.0,30.0,1.31,44.0,11.0,24.3,85.0,29.0,Male,High School,Sales,AI,Mansoura,Enterprise,Hybrid,Single,1.0,0,Medium
50.0,10704.0,27.0,29.0,2.99,28.0,12.0,8.5,151.0,19.0,Female,,HR,IT,Giza,Enterprise,Hybrid,Married,1.0,0,Low
40.0,31290.0,2.0,42.0,4.06,22.0,3.0,30.1,43.0,18.0,Female,Master,,AI,Tanta,Startup,Remote,Married,0.0,0,High
41.0,30460.0,4.0,24.0,1.49,13.0,0.0,9.5,134.0,24.0,,PhD,HR,IT,Alexandria,,Onsite,Married,1.0,0,High
54.0,20509.0,35.0,45.0,3.57,8.0,19.0,40.8,180.0,16.0,Female,,Engineer,HR,Mansoura,Enterprise,Remote,Single,1.0,0,Medium
52.0,20269.0,14.0,23.0,3.11,14.0,14.0,31.3,150.0,12.0,Male,High School,,Operations,,Enterprise,Remote,Married,1.0,0,
61.0,10975.0,,46.0,3.9,37.0,27.0,,192.0,28.0,Female,High School,Engineer,Finance,Aswan,SME,Remote,Married,0.0,0,Medium
57.0,9565.0,28.0,57.0,,24.0,17.0,21.8,36.0,27.0,Female,Bachelor,HR,,Mansoura,Enterprise,Onsite,Single,0.0,0,High
39.0,25467.0,3.0,53.0,3.77,19.0,22.0,26.1,99.0,,,Master,Manager,Marketing,Cairo,Enterprise,Onsite,Married,0.0,0,High
44.0,7870.0,31.0,22.0,1.64,42.0,14.0,38.3,68.0,6.0,Female,Master,Sales,Marketing,Cairo,Enterprise,,Married,1.0,0,Low
52.0,21909.0,37.0,51.0,1.86,21.0,16.0,27.8,22.0,9.0,Female,PhD,,IT,Giza,Startup,Onsite,Married,1.0,0,High
18.0,12117.0,3.0,45.0,4.61,6.0,21.0,29.0,41.0,15.0,Male,Master,Engineer,IT,Cairo,Startup,Hybrid,Single,0.0,1,High
52.0,4938.0,,37.0,2.32,17.0,2.0,28.1,14.0,21.0,,Master,,Finance,Aswan,SME,Onsite,Married,0.0,0,High
54.0,31390.0,19.0,26.0,4.94,16.0,7.0,25.1,193.0,0.0,,Master,HR,,Alexandria,SME,Remote,Married,0.0,1,Medium
64.0,39000.0,17.0,32.0,1.18,13.0,23.0,40.5,113.0,15.0,Male,PhD,Sales,Marketing,Aswan,Startup,Onsite,Married,0.0,0,Medium
31.0,23128.0,36.0,25.0,,25.0,27.0,,17.0,3.0,Female,Bachelor,,Operations,Aswan,SME,Onsite,Married,0.0,0,High
20.0,34781.0,11.0,54.0,2.3,39.0,22.0,45.1,167.0,9.0,Female,Master,Manager,HR,Cairo,,Remote,Married,1.0,0,Medium
,6465.0,24.0,50.0,,31.0,6.0,40.6,,0.0,Female,Bachelor,Manager,Marketing,Mansoura,Enterprise,Hybrid,Married,0.0,0,Medium
22.0,3440.0,29.0,56.0,4.96,28.0,0.0,34.9,145.0,18.0,Male,PhD,Designer,IT,Tanta,Enterprise,Onsite,Single,0.0,1,High
43.0,8413.0,14.0,23.0,1.94,39.0,24.0,45.0,58.0,11.0,Male,PhD,Data Scientist,Operations,Tanta,Enterprise,Onsite,Married,1.0,0,Low
31.0,,35.0,23.0,2.07,6.0,18.0,27.3,74.0,,Female,PhD,Sales,,Aswan,SME,Remote,Single,0.0,0,
56.0,22547.0,,27.0,,8.0,,41.3,110.0,17.0,Female,PhD,HR,Finance,Cairo,Startup,Hybrid,Married,1.0,0,High
44.0,19126.0,27.0,57.0,4.56,11.0,17.0,12.8,192.0,16.0,Male,High School,Sales,AI,Mansoura,Enterprise,Hybrid,Single,0.0,0,Medium
,,,30.0,3.65,2.0,0.0,4.6,122.0,,Male,Master,HR,Operations,Aswan,SME,Hybrid,Single,0.0,0,Low
32.0,10038.0,37.0,21.0,,31.0,10.0,34.6,31.0,28.0,Female,Bachelor,Engineer,,Alexandria,Enterprise,Remote,Married,0.0,0,High
32.0,9414.0,15.0,37.0,1.25,32.0,28.0,15.8,62.0,4.0,Male,Bachelor,Engineer,HR,Mansoura,Startup,Hybrid,Married,1.0,0,High
43.0,25123.0,4.0,37.0,3.56,14.0,0.0,32.1,137.0,21.0,Male,High School,Sales,IT,Giza,,Onsite,Married,0.0,0,Low
59.0,6970.0,33.0,,3.8,8.0,14.0,4.8,139.0,27.0,Male,Bachelor,Sales,,,SME,Onsite,Single,0.0,0,Medium
30.0,,37.0,31.0,1.76,48.0,7.0,47.8,90.0,,Female,Master,Data Scientist,AI,Aswan,SME,,,1.0,0,High
49.0,5606.0,10.0,36.0,4.11,43.0,12.0,26.2,0.0,2.0,Female,High School,Sales,IT,Alexandria,Enterprise,Hybrid,Married,1.0,1,Low
56.0,19482.0,1.0,36.0,4.78,16.0,28.0,1.5,96.0,17.0,Female,High School,Manager,Operations,Alexandria,Enterprise,Onsite,Single,0.0,0,Medium
49.0,36293.0,24.0,55.0,4.59,27.0,24.0,24.3,102.0,22.0,Female,High School,HR,AI,Alexandria,Startup,Onsite,Single,1.0,1,High
21.0,9337.0,24.0,48.0,1.98,44.0,2.0,39.7,18.0,15.0,Female,PhD,Manager,Marketing,Alexandria,SME,Remote,Single,0.0,0,High
47.0,36948.0,0.0,35.0,2.3,12.0,6.0,43.4,117.0,11.0,Female,High School,Manager,HR,Mansoura,,,Single,0.0,0,High
,27451.0,30.0,30.0,3.0,46.0,12.0,23.6,150.0,10.0,Male,High School,HR,AI,Tanta,Startup,Remote,Single,1.0,0,Medium
40.0,29265.0,4.0,41.0,1.63,20.0,17.0,7.2,10.0,16.0,Male,PhD,HR,Operations,Giza,Enterprise,Remote,Single,1.0,0,Medium
56.0,28714.0,39.0,49.0,4.82,49.0,27.0,45.4,48.0,6.0,Male,High School,Designer,Marketing,Aswan,SME,Remote,Married,1.0,1,
62.0,23875.0,3.0,27.0,,,23.0,,67.0,,Male,,Data Scientist,AI,Aswan,Startup,Remote,Married,1.0,0,Low
32.0,16057.0,,37.0,4.05,49.0,29.0,4.1,124.0,8.0,Female,Master,Sales,HR,Aswan,Enterprise,Remote,Married,1.0,1,Low
60.0,35400.0,4.0,35.0,2.37,4.0,28.0,4.8,66.0,,Male,Bachelor,Engineer,HR,Mansoura,Enterprise,Remote,Married,1.0,0,High
46.0,8922.0,15.0,39.0,3.29,6.0,28.0,28.7,175.0,29.0,Female,PhD,HR,AI,Mansoura,Enterprise,Onsite,Single,1.0,0,Low
53.0,6071.0,17.0,58.0,1.19,37.0,11.0,27.2,136.0,15.0,Male,PhD,Designer,Operations,,Enterprise,Remote,Married,1.0,0,Low
30.0,25025.0,16.0,27.0,,36.0,2.0,29.8,23.0,0.0,,Master,Data Scientist,Finance,,SME,Hybrid,Single,,0,Medium
49.0,30503.0,34.0,49.0,2.78,,9.0,16.5,38.0,17.0,Male,Master,Engineer,Operations,Giza,Startup,Onsite,Married,1.0,0,High
24.0,26765.0,17.0,57.0,3.71,40.0,25.0,3.5,8.0,5.0,Male,,Manager,HR,Cairo,Enterprise,Onsite,Married,1.0,1,Medium
39.0,38560.0,3.0,48.0,4.11,31.0,4.0,29.4,14.0,15.0,Female,Master,Designer,Marketing,Alexandria,Startup,Remote,Single,0.0,0,Low
45.0,35782.0,,32.0,1.12,42.0,22.0,,104.0,1.0,Female,Master,HR,AI,Cairo,SME,Hybrid,Married,0.0,0,Low
,,30.0,36.0,1.61,2.0,,17.7,0.0,13.0,Female,Bachelor,Data Scientist,,Tanta,Enterprise,Onsite,Single,0.0,0,High
59.0,38453.0,8.0,59.0,3.92,38.0,0.0,29.5,110.0,3.0,,Master,,,Alexandria,SME,Hybrid,Single,,1,Low
62.0,30476.0,30.0,36.0,4.25,34.0,29.0,11.2,102.0,14.0,Male,PhD,Data Scientist,Marketing,Giza,Enterprise,,,,0,Low
23.0,19212.0,4.0,28.0,1.95,26.0,4.0,27.6,22.0,16.0,Male,Master,HR,HR,,Startup,Onsite,Married,1.0,0,Low
45.0,12428.0,35.0,21.0,1.92,37.0,29.0,36.0,,23.0,Female,High School,HR,AI,Mansoura,Enterprise,,Married,1.0,0,Low
45.0,34419.0,15.0,43.0,1.35,47.0,0.0,4.2,133.0,24.0,Male,Bachelor,HR,HR,Cairo,Enterprise,Onsite,Married,0.0,0,Low
61.0,11159.0,15.0,40.0,1.6,7.0,1.0,31.4,11.0,8.0,Male,Master,Engineer,AI,Mansoura,SME,Hybrid,Single,1.0,0,Low
61.0,27310.0,19.0,21.0,1.03,18.0,9.0,26.0,107.0,13.0,,PhD,Manager,AI,Aswan,SME,Hybrid,Married,1.0,0,High
37.0,39868.0,29.0,24.0,3.36,29.0,3.0,5.8,53.0,12.0,Female,Master,Sales,Marketing,Cairo,Enterprise,Remote,,0.0,0,High
47.0,9004.0,25.0,36.0,4.62,47.0,25.0,35.6,,,Female,Master,HR,Finance,Giza,Enterprise,Onsite,Single,0.0,0,Low
28.0,14412.0,30.0,43.0,,39.0,29.0,16.2,130.0,10.0,Male,High School,Sales,Finance,Aswan,Startup,Onsite,Single,0.0,0,High
45.0,14755.0,14.0,27.0,4.01,9.0,2.0,9.9,0.0,28.0,Male,PhD,Sales,IT,Aswan,,Hybrid,Single,1.0,1,Medium
42.0,22017.0,37.0,49.0,3.29,29.0,9.0,14.8,140.0,24.0,Female,Master,Manager,IT,,Startup,Onsite,Married,0.0,0,Low
